"Temperature Range, K","Composition (weight percent), Specifications and Remarks",Temperature,Emittance,standard uncertainty
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,300.0,0.0237,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,400.0,0.033,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,500.0,0.0421,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,600.0,0.0514,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,700.0,0.0626,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,800.0,0.0755,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,900.0,0.0904,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,1000.0,0.1069,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,1100.0,0.1247,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,1200.0,0.1435,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,1300.0,0.1625,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,1400.0,0.1813,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,1500.0,0.1995,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,1600.0,0.217,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,1700.0,0.2338,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,1800.0,0.2494,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,1900.0,0.2643,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,2000.0,0.2785,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,2100.0,0.292,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,2200.0,0.3046,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,2300.0,0.3174,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,2400.0,0.329,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,2500.0,0.3407,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,2600.0,0.3517,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,2700.0,0.3625,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,2800.0,0.3733,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,2900.0,0.3839,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,3000.0,0.3941,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,3100.0,0.4041,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,3200.0,0.4142,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,3300.0,0.4239,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,3400.0,0.4334,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,3500.0,0.4428,
300-3540,Tungsten filaments aged 24 hrs at 2400 K; measured in vacuum; smoothed values.,3540.0,0.4467,
